DateTime,heii_qu,heii_qd,heni_qu,isli_qu
11/12/1988,3105.26,1130,180.88,601.66
11/13/1988,3948.28,1140,-89.89,323.11
11/14/1988,3900.12,1120,240.49,708.38
11/15/1988,2396.31,1130,-89.7,238.18
11/16/1988,2726.91,1120,0.3,362.6
11/17/1988,3107.43,1120,181.62,612.88
11/18/1988,3395.6,1110,-60.03,308.53
11/19/1988,2742.59,1100,30.49,385.37
11/20/1988,2738.15,1090,60.88,452.67
11/21/1988,2875.66,1100,-90.26,303.97
11/22/1988,2773.8,1100,242.46,729.37
11/23/1988,3653.3,1150,305.82,943.96
11/24/1988,3293.79,1160,0,391.88
11/25/1988,2834.24,1100,30.74,370.45
11/26/1988,2732.37,1090,211.45,571.46
11/27/1988,3994.92,1080,-89.98,311.23
11/28/1988,3484.39,1110,0,422.26
11/29/1988,2617.64,1070,120.02,450.44
11/30/1988,2531.54,1060,0,350.32
12/1/1988,2656.52,1050,-59.05,293.32
12/2/1988,2649.85,1050,61.05,415.6
12/3/1988,2008.68,1060,1,357.7
12/4/1988,2479.9,1050,61.2,399.38
12/5/1988,2265.39,1050,395.14,775.99
12/6/1988,2453.04,1060,-29.48,292.64
12/7/1988,2419.97,1070,123.15,488.35
12/8/1988,2858.57,1060,31.64,357.21
12/9/1988,2207.04,1060,1,348.54
12/10/1988,2980.51,1060,1,391.69
12/11/1988,2316.68,1060,-121.3,208.45
12/12/1988,2792.35,1060,184.6,560.04
12/13/1988,3168.39,1060,-121.5,254.21
12/14/1988,1940.46,1060,123.5,437.39
12/15/1988,2550.42,1050,-29.66,267.02
12/16/1988,1976.1,1040,62.39,314.77
12/17/1988,2196.7,1070,-29.73,378.85
12/18/1988,1881.08,1060,1,364.25
12/19/1988,1892.53,1070,93.2,436.37
12/20/1988,2587.29,1080,124.38,559.72
12/21/1988,3063.49,1100,186.94,696.99
12/22/1988,2482.54,1090,-61.11,348.89
12/23/1988,3004.32,1100,125.34,466.94
12/24/1988,2517.75,1090,-30.11,287.4
12/25/1988,2596.1,1060,1,367.34
12/26/1988,2703.16,1020,94.47,387.12
12/27/1988,2159.23,1040,63.44,380.37
12/28/1988,2058.39,1060,-61.44,281.11
12/29/1988,2278.56,1060,63.44,481.6
12/30/1988,2571.53,1080,63.6,408.13
12/31/1988,3278.1,1100,153.62,550.54
1/1/1989,2054.73,1110,1,351.71
1/2/1989,2686.07,1090,1,377.6
1/3/1989,2493.4,1090,1,305.1
1/4/1989,2877.73,1080,91.15,420.76
1/5/1989,1660.84,1090,91.44,456.98
1/6/1989,3489.94,1110,-29.2,391.1
1/7/1989,2697.43,1090,31.2,319.64
1/8/1989,2180.9,1070,31.19,449.82
1/9/1989,2523.98,1050,31.22,426.9
1/10/1989,2283.16,1080,61.52,432.21
1/11/1989,3403.51,1060,31.3,322.81
1/12/1989,2246.4,1050,61.69,381.41
1/13/1989,2258.03,1060,61.8,329.03
1/14/1989,2359.96,1070,31.44,433.85
1/15/1989,2533.95,1090,-29.44,299.52
1/16/1989,3005.37,1100,61.92,365.21
1/17/1989,2415.7,1100,62.03,505.1
1/18/1989,2841.05,1100,31.56,322.24
1/19/1989,2065.52,1090,-29.56,319.44
1/20/1989,2909.17,1100,31.56,298.06
1/21/1989,2209.82,1130,-90.59,238.3
1/22/1989,2825.82,1150,276.56,860.92
1/23/1989,2958.75,1140,-29.73,332.53
1/24/1989,2372.43,1080,-152.25,180.83
1/25/1989,2066.58,1000,123.55,397.5
1/26/1989,2322.94,1030,31.7,306.45
1/27/1989,1741.91,1070,-29.7,391.07
1/28/1989,2323.03,1060,31.7,308.61
1/29/1989,2150.27,1070,31.73,368.45
1/30/1989,2717.19,1080,1,252.75
1/31/1989,1467.1,1120,-29.73,345.39
2/1/1989,3570.43,1140,78.15,425.68
2/2/1989,1876.68,1100,78.14,336.59
2/3/1989,2835.1,1080,78.15,443.15
2/4/1989,2363.82,1060,78.14,287.47
2/5/1989,1970.71,1040,-246.09,6.02
2/6/1989,1833,990,124.32,440.39
2/7/1989,1918.64,1030,1,524.97
2/8/1989,2155.06,1070,1,102.3
2/9/1989,2016.72,1120,155.79,334.22
2/10/1989,2634.2,1170,-61,263.69
2/11/1989,2259.79,1160,31.99,433.6
2/12/1989,2259.31,1140,1,326.26
2/13/1989,2199.11,1120,32.01,379.41
2/14/1989,2167.31,1080,1,361.79
2/15/1989,2928.42,1040,63.12,392.27
2/16/1989,2013.56,1050,32.14,440.62
2/17/1989,2251.12,1100,32.13,392.13
2/18/1989,2948.19,1140,32.16,419.4
2/19/1989,3219,1170,94.65,456.65
2/20/1989,2119.22,1140,32.28,284.71
2/21/1989,2752.1,1110,1,332
2/22/1989,2552.17,1140,63.64,445.85
2/23/1989,2382,1150,-61.64,346.39
2/24/1989,2650.82,1130,155.26,448.17
2/25/1989,2141.26,1130,-29.57,328.08
2/26/1989,3046.92,1140,1,339.21
2/27/1989,2727.4,1140,92.78,430.38
2/28/1989,2534.61,1130,62.33,430.24
3/1/1989,2446.88,1130,-29.68,309.66
3/2/1989,2954.92,1150,-29.65,490.22
3/3/1989,3021.14,1140,388.81,341.56
3/4/1989,2173.18,1100,468.99,383.26
3/5/1989,2187.34,1110,439.78,330.37
3/6/1989,2257.88,1130,411.59,284.7
3/7/1989,2887.1,1140,429.94,398.12
3/8/1989,3215.39,1130,521.84,490.68
3/9/1989,3494.91,1200,509.08,494.57
3/10/1989,3602.41,1250,706.2,527.9
3/11/1989,3642.84,1310,430.23,247.5
3/12/1989,3460.98,1350,646.79,491.23
3/13/1989,3873.93,1360,647.03,555.95
3/14/1989,3954.06,1300,187.5,558.22
3/15/1989,3228.99,1230,-30.57,339.26
3/16/1989,4205.15,1230,-30.58,342.37
3/17/1989,2663.82,1230,94.19,470.61
3/18/1989,3700.7,1200,31.86,407.42
3/19/1989,3252.08,1220,31.89,439.07
3/20/1989,3073.34,1180,32.02,378.92
3/21/1989,2787.53,1170,63.33,471.78
3/22/1989,2852.57,1180,0.6,378.37
3/23/1989,3086.91,1170,32.01,380.33
3/24/1989,2347.71,1180,126.72,506.75
3/25/1989,3436.61,1200,32.35,505.18
3/26/1989,3596.82,1240,64.09,443.91
3/27/1989,3892.44,1260,-93.93,411.78
3/28/1989,3902.4,1230,222.25,635.93
3/29/1989,3678.78,1210,32.55,356.03
3/30/1989,4266.32,1210,0.9,358.34
3/31/1989,3958.92,1190,96.23,548.63
4/1/1989,3656.31,1180,125.68,515.3
4/2/1989,3656.23,1190,-60.32,396.5
4/3/1989,3636.44,1160,31.33,321.98
4/4/1989,3386.62,1160,0.8,355.61
4/5/1989,3425.96,1140,31.69,324.04
4/6/1989,3151.52,1160,62.39,418.69
4/7/1989,4877.47,1240,-29.41,264.21
4/8/1989,6287.62,1350,1.1,391.38
4/9/1989,5724.59,1350,62.28,389.75
4/10/1989,5629.92,1310,93,421.4
4/11/1989,4790.32,1300,-29.75,300.37
4/12/1989,5474.25,1300,93.26,428.23
4/13/1989,5707.67,1380,62.65,465.54
4/14/1989,6692.52,1510,1.1,337.92
4/15/1989,7438.35,1630,186.66,557.38
4/16/1989,8875.66,1930,63.08,504.17
4/17/1989,10025.63,2180,-61.08,459.3
4/18/1989,10918.99,2500,187.63,665.53
4/19/1989,12354.99,3010,251.07,853.55
4/20/1989,11860.51,3360,94.95,600.76
